TIME,V,I,I,pce
2.26E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.27E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.28E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.29E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.30E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.31E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.32E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.33E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.34E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.35E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.36E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.37E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.38E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.39E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.40E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.41E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.42E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.43E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.44E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.45E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.46E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.47E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.48E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.49E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.50E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.51E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.52E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.53E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.54E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.55E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.56E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.57E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.58E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.59E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.60E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.61E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.62E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.63E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.64E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.65E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.66E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.67E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.68E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.69E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.70E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.71E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.72E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.73E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.74E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.75E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.76E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.77E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.78E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.79E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.80E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.81E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
