Labels,Decay28,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4995.117200,
Step,4.8828125,
Fixed/Offset,,
XAxis,Time,
YAxis,Counts,

3193.359400,4.20000000E+1,
3198.242200,3.10000000E+1,
3203.125000,2.80000000E+1,
3208.007800,3.50000000E+1,
3212.890600,3.20000000E+1,
3217.773400,3.50000000E+1,
3222.656300,2.30000000E+1,
3227.539100,2.60000000E+1,
3232.421900,3.60000000E+1,
3237.304700,3.70000000E+1,
3242.187500,3.50000000E+1,
3247.07000,3.40000000E+1,
3251.953100,2.60000000E+1,
3256.835900,3.10000000E+1,
3261.718800,3.00000000E+1,
3266.601600,3.70000000E+1,
3271.484400,3.50000000E+1,
3276.367200,2.80000000E+1,
3281.25000,3.00000000E+1,
3286.132800,2.40000000E+1,
3291.015600,3.20000000E+1,
3295.898400,3.80000000E+1,
3300.781300,2.40000000E+1,
3305.664100,3.60000000E+1,
3310.546900,2.90000000E+1,
3315.43000,3.70000000E+1,
3320.312500,2.80000000E+1,
3325.195300,3.10000000E+1,
3330.078100,3.30000000E+1,
3334.960900,2.50000000E+1,
3339.843800,2.90000000E+1,
3344.726600,2.50000000E+1,
3349.609400,3.60000000E+1,
3354.492200,2.80000000E+1,
3359.375000,3.50000000E+1,
3364.257800,3.10000000E+1,
3369.140600,2.80000000E+1,
3374.023400,2.10000000E+1,
3378.906300,3.10000000E+1,
3383.789100,1.90000000E+1,
3388.671900,2.80000000E+1,
3393.554700,3.40000000E+1,
3398.437500,2.60000000E+1,
3403.32000,3.20000000E+1,
3408.203100,2.80000000E+1,
3413.085900,3.00000000E+1,
3417.968800,2.70000000E+1,
3422.851600,2.80000000E+1,
3427.734400,3.40000000E+1,
3432.617200,2.50000000E+1,
3437.5000,4.00000000E+1,
3442.382800,1.90000000E+1,
3447.265600,2.50000000E+1,
3452.148400,2.40000000E+1,
3457.031300,2.40000000E+1,
3461.914100,3.20000000E+1,
3466.796900,3.80000000E+1,
3471.68000,2.80000000E+1,
3476.562500,3.00000000E+1,
3481.445300,3.00000000E+1,
3486.328100,3.60000000E+1,
3491.210900,3.50000000E+1,
3496.093800,3.50000000E+1,
3500.976600,2.70000000E+1,
3505.859400,2.90000000E+1,
3510.742200,2.40000000E+1,
3515.625000,2.50000000E+1,
3520.507800,3.00000000E+1,
3525.390600,2.50000000E+1,
3530.273400,3.00000000E+1,
3535.156300,1.80000000E+1,
3540.039100,2.10000000E+1,
3544.921900,3.40000000E+1,
3549.804700,2.70000000E+1,
3554.687500,2.20000000E+1,
3559.57000,1.90000000E+1,
3564.453100,1.90000000E+1,
3569.335900,2.20000000E+1,
3574.218800,2.40000000E+1,
3579.101600,2.30000000E+1,
3583.984400,3.00000000E+1,
3588.867200,3.10000000E+1,
3593.75000,2.10000000E+1,
3598.632800,3.20000000E+1,
3603.515600,2.00000000E+1,
3608.398400,3.30000000E+1,
3613.281300,3.70000000E+1,
3618.164100,2.70000000E+1,
3623.046900,2.90000000E+1,
3627.93000,2.60000000E+1,
3632.812500,3.50000000E+1,
3637.695300,2.30000000E+1,
3642.578100,2.30000000E+1,
3647.460900,2.00000000E+1,
3652.343800,2.00000000E+1,
3657.226600,2.20000000E+1,
3662.109400,3.70000000E+1,
3666.992200,2.90000000E+1,
3671.875000,2.60000000E+1,
3676.757800,2.60000000E+1,
3681.640600,2.90000000E+1,
3686.523400,2.80000000E+1,
3691.406300,2.90000000E+1,
3696.289100,2.20000000E+1,
3701.171900,2.10000000E+1,
3706.054700,2.30000000E+1,
3710.937500,1.60000000E+1,
3715.82000,2.80000000E+1,
3720.703100,2.80000000E+1,
3725.585900,1.60000000E+1,
3730.468800,2.80000000E+1,
3735.351600,2.60000000E+1,
3740.234400,2.40000000E+1,
3745.117200,2.30000000E+1,
3750.00,1.90000000E+1,
3754.882800,2.30000000E+1,
3759.765600,2.50000000E+1,
3764.648400,2.40000000E+1,
3769.531300,1.80000000E+1,
3774.414100,1.90000000E+1,
3779.296900,2.10000000E+1,
3784.18000,2.90000000E+1,
3789.062500,1.70000000E+1,
3793.945300,3.20000000E+1,
3798.828100,2.50000000E+1,
3803.710900,2.70000000E+1,
3808.593800,9.00000000E+0,
3813.476600,1.80000000E+1,
3818.359400,3.10000000E+1,
3823.242200,1.70000000E+1,
3828.125000,2.90000000E+1,
3833.007800,2.60000000E+1,
3837.890600,2.70000000E+1,
3842.773400,2.50000000E+1,
3847.656300,2.50000000E+1,
3852.539100,3.10000000E+1,
3857.421900,2.50000000E+1,
3862.304700,2.80000000E+1,
3867.187500,1.90000000E+1,
3872.07000,2.20000000E+1,
3876.953100,2.60000000E+1,
3881.835900,2.10000000E+1,
3886.718800,1.80000000E+1,
3891.601600,2.40000000E+1,
3896.484400,2.00000000E+1,
3901.367200,2.10000000E+1,
3906.25000,1.40000000E+1,
3911.132800,2.40000000E+1,
3916.015600,1.70000000E+1,
3920.898400,2.60000000E+1,
3925.781300,1.90000000E+1,
3930.664100,2.40000000E+1,
3935.546900,2.80000000E+1,
3940.43000,2.40000000E+1,
3945.312500,3.00000000E+1,
3950.195300,1.30000000E+1,
3955.078100,2.90000000E+1,
3959.960900,1.80000000E+1,
3964.843800,1.40000000E+1,
3969.726600,1.80000000E+1,
3974.609400,1.60000000E+1,
3979.492200,1.80000000E+1,
3984.375000,1.70000000E+1,
3989.257800,2.30000000E+1,
3994.140600,2.10000000E+1,
3999.023400,1.80000000E+1,
4003.906300,1.60000000E+1,
4008.789100,1.90000000E+1,
4013.671900,2.90000000E+1,
4018.554700,1.70000000E+1,
4023.437500,1.80000000E+1,
4028.32000,2.20000000E+1,
4033.203100,1.80000000E+1,
4038.085900,1.60000000E+1,
4042.968800,2.30000000E+1,
4047.851600,1.50000000E+1,
4052.734400,2.00000000E+1,
4057.617200,2.60000000E+1,
4062.5000,2.40000000E+1,
4067.382800,1.10000000E+1,
4072.265600,2.30000000E+1,
4077.148400,1.50000000E+1,
4082.031300,3.10000000E+1,
4086.914100,1.90000000E+1,
4091.796900,1.60000000E+1,
4096.68000,2.70000000E+1,
4101.562500,1.60000000E+1,
4106.445300,2.80000000E+1,
4111.328100,2.40000000E+1,
4116.210900,2.20000000E+1,
4121.093800,1.90000000E+1,
4125.976600,1.20000000E+1,
4130.859400,3.70000000E+1,
4135.742200,1.80000000E+1,
4140.625000,1.70000000E+1,
4145.507800,1.90000000E+1,
4150.390600,1.30000000E+1,
4155.273400,2.30000000E+1,
4160.156300,2.90000000E+1,
4165.039100,1.60000000E+1,
4169.921900,1.40000000E+1,
4174.804700,1.70000000E+1,
4179.687500,2.00000000E+1,
4184.57000,1.50000000E+1,
4189.453100,2.10000000E+1,
4194.335900,1.50000000E+1,
4199.218800,1.60000000E+1,
4204.101600,2.20000000E+1,
4208.984400,1.80000000E+1,
4213.867200,1.40000000E+1,
4218.75000,1.90000000E+1,
4223.632800,2.30000000E+1,
