Time(min),Time(h),Normalized PCE
1121,18.68333,0.49974
1122,18.7,0.50217
1123,18.71667,0.49893
1124,18.73333,0.4981
1125,18.75,0.49934
1126,18.76667,0.5002
1127,18.78333,0.49837
1128,18.8,0.50054
1129,18.81667,0.49962
1130,18.83333,0.49837
1131,18.85,0.5002
1132,18.86667,0.50148
1133,18.88333,0.49919
1134,18.9,0.5002
1135,18.91667,0.49929
1136,18.93333,0.49849
1137,18.95,0.50049
1138,18.96667,0.5009
1139,18.98333,0.49893
1140,19,0.49889
1141,19.01667,0.49889
1142,19.03333,0.49812
1143,19.05,0.4994
1144,19.06667,0.49889
1145,19.08333,0.49768
1146,19.1,0.49974
1147,19.11667,0.49608
1148,19.13333,0.49812
1149,19.15,0.49589
1150,19.16667,0.49893
1151,19.18333,0.49812
1152,19.2,0.4965
1153,19.21667,0.4965
1154,19.23333,0.49779
1155,19.25,0.49699
1156,19.26667,0.49731
1157,19.28333,0.49752
1158,19.3,0.49441
1159,19.31667,0.49538
1160,19.33333,0.49699
1161,19.35,0.49419
1162,19.36667,0.4994
1163,19.38333,0.49441
1164,19.4,0.49569
1165,19.41667,0.49731
1166,19.43333,0.49608
1167,19.45,0.4965
1168,19.46667,0.49411
1169,19.48333,0.49388
1170,19.5,0.49603
1171,19.51667,0.49527
1172,19.53333,0.49571
1173,19.55,0.49458
1174,19.56667,0.49458
1175,19.58333,0.49332
1176,19.6,0.49458
1177,19.61667,0.49411
1178,19.63333,0.49367
1179,19.65,0.49367
1180,19.66667,0.49332
1181,19.68333,0.49312
1182,19.7,0.49407
